loinc	scale	interpretation	hpoTermId
LOINC:2075-0	Qn	L	HP:0003113
LOINC:2075-0	Qn	N	HP:0011422
LOINC:2075-0	Qn	H	HP:0011423
LOINC:2077-6	Qn	N	HP:0012236
LOINC:2077-6	Qn	H	HP:0012236
LOINC:2078-4	Qn	L	HP:0012601
LOINC:2078-4	Qn	N	HP:0012600
LOINC:2078-4	Qn	H	HP:0002914
LOINC:2082-6	Qn	L	HP:0003146
LOINC:2082-6	Qn	N	HP:0003107
LOINC:2082-6	Qn	H	HP:0003124
LOINC:2085-9	Qn	L	HP:0003233
LOINC:2085-9	Qn	N	HP:0031888
LOINC:2085-9	Qn	H	HP:0012184
LOINC:2086-7	Qn	L	HP:0003233
LOINC:2086-7	Qn	N	HP:0031888
LOINC:2086-7	Qn	H	HP:0012184
LOINC:2089-1	Qn	L	HP:0003563
LOINC:2089-1	Qn	N	HP:0031886
LOINC:2089-1	Qn	H	HP:0003141
LOINC:2091-7	Qn	L	HP:0031243
LOINC:2091-7	Qn	N	HP:0010979
LOINC:2091-7	Qn	H	HP:0003362
LOINC:2093-3	Qn	L	HP:0003146
LOINC:2093-3	Qn	N	HP:0003107
LOINC:2093-3	Qn	H	HP:0003124
LOINC:2132-9	Qn	L	HP:0100502
LOINC:2132-9	Qn	N	HP:0040126
LOINC:2139-4	Qn	L	HP:0032363
